Date,Hour,Load
1/6/2008,13,116.4
1/6/2008,14,111.9
1/6/2008,15,108
1/6/2008,16,105.3
1/6/2008,17,107.5
1/6/2008,18,124.5
1/6/2008,19,136.4
1/6/2008,20,139.4
1/6/2008,21,138.6
1/6/2008,22,133.1
1/6/2008,23,124.5
1/6/2008,24,114.2
1/7/2008,1,107.4
1/7/2008,2,105.7
1/7/2008,3,106.1
1/7/2008,4,109.3
1/7/2008,5,115.2
1/7/2008,6,131.2
1/7/2008,7,155.5
1/7/2008,8,157.1
1/7/2008,9,140.9
1/7/2008,10,125.4
1/7/2008,11,114.1
1/7/2008,12,107
1/7/2008,13,102.8
1/7/2008,14,99.9
1/7/2008,15,97.5
1/7/2008,16,96.9
1/7/2008,17,100.6
1/7/2008,18,118.4
1/7/2008,19,133.4
1/7/2008,20,134.4
1/7/2008,21,133.6
1/7/2008,22,126.4
1/7/2008,23,115.1
1/7/2008,24,103.2
1/8/2008,1,94.8
1/8/2008,2,92.3
1/8/2008,3,92.7
1/8/2008,4,94.1
1/8/2008,5,99.1
1/8/2008,6,112.3
1/8/2008,7,134.6
1/8/2008,8,138.6
1/8/2008,9,128.5
1/8/2008,10,117.3
1/8/2008,11,106.9
1/8/2008,12,103.3
1/8/2008,13,100.8
1/8/2008,14,97.5
1/8/2008,15,96
1/8/2008,16,96.4
1/8/2008,17,101.5
1/8/2008,18,118.8
1/8/2008,19,131.2
1/8/2008,20,130
1/8/2008,21,126.2
1/8/2008,22,118.2
1/8/2008,23,106
1/8/2008,24,94.3
1/9/2008,1,85
1/9/2008,2,81.6
1/9/2008,3,80.5
1/9/2008,4,81.3
1/9/2008,5,85.4
1/9/2008,6,96.3
1/9/2008,7,120.4
1/9/2008,8,121.1
1/9/2008,9,110.3
1/9/2008,10,106.3
1/9/2008,11,103.6
1/9/2008,12,101
1/9/2008,13,99.5
1/9/2008,14,97.6
1/9/2008,15,96.1
1/9/2008,16,95.9
1/9/2008,17,100.7
1/9/2008,18,118.2
1/9/2008,19,131.2
1/9/2008,20,129.4
1/9/2008,21,127
1/9/2008,22,121.1
1/9/2008,23,110.3
1/9/2008,24,99.2
1/10/2008,1,92.1
1/10/2008,2,89.9
1/10/2008,3,89.7
1/10/2008,4,91.7
1/10/2008,5,97.7
1/10/2008,6,113.4
1/10/2008,7,142.4
1/10/2008,8,147.1
1/10/2008,9,134.4
1/10/2008,10,122.7
1/10/2008,11,115.6
1/10/2008,12,111.9
1/10/2008,13,111
1/10/2008,14,109.5
1/10/2008,15,108.1
1/10/2008,16,109.6
1/10/2008,17,116.1
1/10/2008,18,135
1/10/2008,19,147.8
1/10/2008,20,147.5
1/10/2008,21,145
1/10/2008,22,136.5
1/10/2008,23,123.4
1/10/2008,24,110.2
1/11/2008,1,99.2
1/11/2008,2,93.1
1/11/2008,3,89.2
1/11/2008,4,87.2
1/11/2008,5,88.2
1/11/2008,6,97.3
1/11/2008,7,117.7
1/11/2008,8,119.9
1/11/2008,9,109.5
1/11/2008,10,106.8
1/11/2008,11,105.3
1/11/2008,12,104.2
1/11/2008,13,100.5
1/11/2008,14,97
1/11/2008,15,94.8
1/11/2008,16,94.7
1/11/2008,17,98.6
1/11/2008,18,112.2
1/11/2008,19,121.7
1/11/2008,20,119.3
1/11/2008,21,115.7
1/11/2008,22,111.3
1/11/2008,23,105.5
1/11/2008,24,97
1/12/2008,1,89.5
1/12/2008,2,85.9
1/12/2008,3,85.5
1/12/2008,4,86.8
1/12/2008,5,90.5
1/12/2008,6,97.6
1/12/2008,7,107.9
1/12/2008,8,120
1/12/2008,9,134.2
1/12/2008,10,139.6
1/12/2008,11,138.3
1/12/2008,12,134.8
1/12/2008,13,129.3
1/12/2008,14,125.4
1/12/2008,15,123.3
1/12/2008,16,122.3
1/12/2008,17,127.4
1/12/2008,18,144.8
1/12/2008,19,155.8
1/12/2008,20,157
1/12/2008,21,157.1
1/12/2008,22,155
1/12/2008,23,148.7
1/12/2008,24,142.3
1/13/2008,1,135.2
1/13/2008,2,131.8
1/13/2008,3,130.2
1/13/2008,4,128.6
1/13/2008,5,128.3
1/13/2008,6,132.5
1/13/2008,7,140.6
1/13/2008,8,151.8
1/13/2008,9,166.7
1/13/2008,10,168.2
1/13/2008,11,156.2
1/13/2008,12,144.1
1/13/2008,13,139.1
1/13/2008,14,136
1/13/2008,15,134.4
1/13/2008,16,135.1
1/13/2008,17,141.3
1/13/2008,18,153.3
1/13/2008,19,159.4
1/13/2008,20,158.4
1/13/2008,21,156.9
1/13/2008,22,148.8
1/13/2008,23,137.2
1/13/2008,24,126.5
1/14/2008,1,120.2
1/14/2008,2,118.6
1/14/2008,3,120.9
1/14/2008,4,125.6
1/14/2008,5,134.2
1/14/2008,6,152.1
1/14/2008,7,180.9
1/14/2008,8,184.5
1/14/2008,9,171.6
1/14/2008,10,157.9
1/14/2008,11,148
1/14/2008,12,142.7
1/14/2008,13,137
1/14/2008,14,131.9
1/14/2008,15,124.6
1/14/2008,16,123.9
1/14/2008,17,135.4
1/14/2008,18,165
1/14/2008,19,187.8
1/14/2008,20,191.6
1/14/2008,21,192.1
1/14/2008,22,186
1/14/2008,23,174.8
1/14/2008,24,165.2
1/15/2008,1,161.1
1/15/2008,2,163.4
1/15/2008,3,168.4
1/15/2008,4,175.9
1/15/2008,5,186.1
1/15/2008,6,204.9
1/15/2008,7,234
1/15/2008,8,233.4
1/15/2008,9,208.2
1/15/2008,10,185.7
1/15/2008,11,167.4
1/15/2008,12,156.3
1/15/2008,13,153.1
1/15/2008,14,152.8
1/15/2008,15,154.8
1/15/2008,16,157.7
1/15/2008,17,172.5
1/15/2008,18,204.9
1/15/2008,19,224.4
1/15/2008,20,228.2
1/15/2008,21,226.3
1/15/2008,22,218.6
1/15/2008,23,206.5
1/15/2008,24,195.4
1/16/2008,1,190.8
1/16/2008,2,191.4
1/16/2008,3,194.1
1/16/2008,4,198
1/16/2008,5,204.1
1/16/2008,6,220
1/16/2008,7,245.8
1/16/2008,8,242.7
1/16/2008,9,215
1/16/2008,10,198.2
1/16/2008,11,182.5
1/16/2008,12,167.4
1/16/2008,13,154.7
1/16/2008,14,144.6
1/16/2008,15,139.5
1/16/2008,16,144.1
1/16/2008,17,160.5
1/16/2008,18,188.5
1/16/2008,19,206.2
1/16/2008,20,207
1/16/2008,21,204.8
1/16/2008,22,197.2
1/16/2008,23,184
1/16/2008,24,169.8
1/17/2008,1,160.4
1/17/2008,2,157.5
1/17/2008,3,156.7
1/17/2008,4,157.5
1/17/2008,5,161.5
1/17/2008,6,174.9
1/17/2008,7,197.4
1/17/2008,8,200.1
1/17/2008,9,188.2
1/17/2008,10,184.5
1/17/2008,11,183.1
1/17/2008,12,181.6
1/17/2008,13,177.8
1/17/2008,14,172.8
1/17/2008,15,169
1/17/2008,16,167.9
1/17/2008,17,170.2
1/17/2008,18,181
1/17/2008,19,186.4
1/17/2008,20,181.4
1/17/2008,21,176.6
1/17/2008,22,170.1
1/17/2008,23,159.5
1/17/2008,24,149.9
1/18/2008,1,144
1/18/2008,2,143.5
1/18/2008,3,145.9
1/18/2008,4,149.7
1/18/2008,5,156.8
1/18/2008,6,170.8
1/18/2008,7,193.7
1/18/2008,8,197.5
1/18/2008,9,189.5
1/18/2008,10,182.3
1/18/2008,11,168.3
1/18/2008,12,151
1/18/2008,13,138.1
1/18/2008,14,129.9
1/18/2008,15,126.4
1/18/2008,16,124.3
1/18/2008,17,130.9
1/18/2008,18,153.7
1/18/2008,19,172.1
1/18/2008,20,174.6
1/18/2008,21,175.3
1/18/2008,22,172.1
1/18/2008,23,166
1/18/2008,24,157.9
1/19/2008,1,149.2
1/19/2008,2,144.8
1/19/2008,3,141.5
1/19/2008,4,141.3
1/19/2008,5,142.9
1/19/2008,6,147.7
1/19/2008,7,155.2
1/19/2008,8,166.3
1/19/2008,9,177.1
1/19/2008,10,183.1
1/19/2008,11,183.7
1/19/2008,12,181.2
1/19/2008,13,177.8
1/19/2008,14,173.9
1/19/2008,15,172.5
1/19/2008,16,176.3
1/19/2008,17,183.6
1/19/2008,18,197.6
1/19/2008,19,204.2
1/19/2008,20,203.9
1/19/2008,21,202.8
1/19/2008,22,197.9
1/19/2008,23,189.9
1/19/2008,24,181.2
1/20/2008,1,174.1
1/20/2008,2,170.3
1/20/2008,3,169.6
1/20/2008,4,171
1/20/2008,5,173.8
1/20/2008,6,180.6
1/20/2008,7,193.7
1/20/2008,8,211.5
1/20/2008,9,226.5
1/20/2008,10,228.1
1/20/2008,11,219.3
1/20/2008,12,208.5
1/20/2008,13,200.1
1/20/2008,14,193
1/20/2008,15,188.1
1/20/2008,16,186.7
1/20/2008,17,196
1/20/2008,18,225.1
1/20/2008,19,243.9
1/20/2008,20,246.4
1/20/2008,21,248.4
1/20/2008,22,245.3
1/20/2008,23,241.2
1/20/2008,24,233.8
1/21/2008,1,231
1/21/2008,2,232.5
1/21/2008,3,236.2
1/21/2008,4,240.2
1/21/2008,5,244.5
1/21/2008,6,258.1
1/21/2008,7,270.2
1/21/2008,8,275.4
1/21/2008,9,262.7
1/21/2008,10,245.1
1/21/2008,11,227.6
1/21/2008,12,209.2
1/21/2008,13,192.2
1/21/2008,14,177.6
1/21/2008,15,168.5
1/21/2008,16,169.5
1/21/2008,17,177.7
1/21/2008,18,212
1/21/2008,19,238
1/21/2008,20,245.5
1/21/2008,21,246
1/21/2008,22,240.9
1/21/2008,23,229.7
1/21/2008,24,218.4
1/22/2008,1,211.3
1/22/2008,2,207.3
1/22/2008,3,204
1/22/2008,4,201.3
1/22/2008,5,203.3
1/22/2008,6,212
1/22/2008,7,224.8
1/22/2008,8,224.8
1/22/2008,9,212.7
1/22/2008,10,195.2
1/22/2008,11,177.2
1/22/2008,12,163.5
1/22/2008,13,152.7
1/22/2008,14,143.6
1/22/2008,15,133.2
1/22/2008,16,128.9
1/22/2008,17,137
1/22/2008,18,155.2
1/22/2008,19,169.6
1/22/2008,20,169.8
1/22/2008,21,165.9
1/22/2008,22,158.5
1/22/2008,23,145.8
1/22/2008,24,134
1/23/2008,1,126.5
1/23/2008,2,123.8
1/23/2008,3,124.2
1/23/2008,4,127
1/23/2008,5,133.6
1/23/2008,6,147.6
1/23/2008,7,169.4
1/23/2008,8,174.1
1/23/2008,9,165.2
1/23/2008,10,152.6
1/23/2008,11,141.2
1/23/2008,12,131.1
1/23/2008,13,122.6
1/23/2008,14,116.8
1/23/2008,15,112.4
1/23/2008,16,112.3
1/23/2008,17,121
1/23/2008,18,147.3
1/23/2008,19,171.8
1/23/2008,20,178.7
1/23/2008,21,181
1/23/2008,22,178.6
1/23/2008,23,169
1/23/2008,24,157.7
1/24/2008,1,151.5
1/24/2008,2,150.5
1/24/2008,3,153.4
1/24/2008,4,156.6
1/24/2008,5,163
1/24/2008,6,177.6
1/24/2008,7,200.6
1/24/2008,8,197.1
1/24/2008,9,179.9
1/24/2008,10,170.1
1/24/2008,11,161.3
1/24/2008,12,153
1/24/2008,13,149
1/24/2008,14,147.9
1/24/2008,15,150
1/24/2008,16,152.5
1/24/2008,17,163.2
1/24/2008,18,189.4
1/24/2008,19,212.8
1/24/2008,20,218.9
1/24/2008,21,221.3
1/24/2008,22,216.6
1/24/2008,23,205.6
1/24/2008,24,195
1/25/2008,1,190
1/25/2008,2,191
1/25/2008,3,194.5
1/25/2008,4,200.7
1/25/2008,5,211
1/25/2008,6,229.8
1/25/2008,7,259.2
1/25/2008,8,260.1
1/25/2008,9,238.3
1/25/2008,10,222.3
1/25/2008,11,207
1/25/2008,12,191.8
1/25/2008,13,176.6
1/25/2008,14,163.1
1/25/2008,15,153.3
1/25/2008,16,152
1/25/2008,17,164.5
1/25/2008,18,196.2
1/25/2008,19,225
1/25/2008,20,233.3
1/25/2008,21,237.9
1/25/2008,22,238.6
1/25/2008,23,233
1/25/2008,24,221.5
1/26/2008,1,210.3
1/26/2008,2,206.5
1/26/2008,3,203.8
1/26/2008,4,201.3
1/26/2008,5,201.6
1/26/2008,6,206.7
1/26/2008,7,215.1
1/26/2008,8,223
1/26/2008,9,228.7
1/26/2008,10,223.9
1/26/2008,11,210.5
1/26/2008,12,193.2
1/26/2008,13,178.7
1/26/2008,14,174
1/26/2008,15,172.3
1/26/2008,16,174
1/26/2008,17,180.5
1/26/2008,18,191.8
1/26/2008,19,201.1
1/26/2008,20,199.9
1/26/2008,21,196.7
1/26/2008,22,192.5
1/26/2008,23,185.2
1/26/2008,24,177.2
1/27/2008,1,172.6
1/27/2008,2,173.5
1/27/2008,3,176.6
1/27/2008,4,182.1
1/27/2008,5,189.9
1/27/2008,6,199.5
1/27/2008,7,210.8
1/27/2008,8,223.4
1/27/2008,9,224.9
1/27/2008,10,207.7
1/27/2008,11,181.7
1/27/2008,12,159.5
1/27/2008,13,148.6
1/27/2008,14,144.1
1/27/2008,15,141.3
1/27/2008,16,139.9
1/27/2008,17,145.6
1/27/2008,18,167.4
1/27/2008,19,189.5
1/27/2008,20,199.8
1/27/2008,21,204.4
1/27/2008,22,202.8
1/27/2008,23,194.8
1/27/2008,24,186.4
1/28/2008,1,182.3
1/28/2008,2,183.7
1/28/2008,3,187.6
1/28/2008,4,193.2
1/28/2008,5,202.3
1/28/2008,6,220
1/28/2008,7,247.6
1/28/2008,8,245.9
1/28/2008,9,219.1
1/28/2008,10,193.4
1/28/2008,11,172.2
1/28/2008,12,155.7
1/28/2008,13,143.8
1/28/2008,14,134.2
1/28/2008,15,127.3
1/28/2008,16,125.2
1/28/2008,17,132.9
1/28/2008,18,160.6
1/28/2008,19,191.7
1/28/2008,20,202.3
1/28/2008,21,206.6
1/28/2008,22,201.6
1/28/2008,23,187.7
1/28/2008,24,175.2
1/29/2008,1,168.2
1/29/2008,2,167.4
1/29/2008,3,168.4
1/29/2008,4,169
1/29/2008,5,171.7
1/29/2008,6,180.7
1/29/2008,7,199.9
1/29/2008,8,194.5
1/29/2008,9,177.5
1/29/2008,10,163.6
1/29/2008,11,150.3
1/29/2008,12,138.7
1/29/2008,13,128.3
1/29/2008,14,121.7
1/29/2008,15,114.7
1/29/2008,16,112.6
1/29/2008,17,119.2
1/29/2008,18,139
1/29/2008,19,159.7
1/29/2008,20,162.7
1/29/2008,21,160
1/29/2008,22,151.6
1/29/2008,23,138.9
1/29/2008,24,124.5
1/30/2008,1,115.3
1/30/2008,2,110
1/30/2008,3,108.3
1/30/2008,4,108.3
1/30/2008,5,112.3
1/30/2008,6,124.3
1/30/2008,7,146.3
1/30/2008,8,146
1/30/2008,9,130.6
1/30/2008,10,124.7
1/30/2008,11,117.5
1/30/2008,12,112.1
1/30/2008,13,108.8
1/30/2008,14,106.2
1/30/2008,15,103.7
1/30/2008,16,104.1
1/30/2008,17,111.2
1/30/2008,18,131.4
1/30/2008,19,159.7
1/30/2008,20,169.2
1/30/2008,21,176.3
1/30/2008,22,178.3
1/30/2008,23,172.2
1/30/2008,24,165.5
1/31/2008,1,163
1/31/2008,2,166.2
1/31/2008,3,171.7
1/31/2008,4,177.6
1/31/2008,5,185
1/31/2008,6,200
1/31/2008,7,225.8
1/31/2008,8,222.3
1/31/2008,9,198.4
1/31/2008,10,180.4
1/31/2008,11,165.2
1/31/2008,12,153.9
1/31/2008,13,144.5
1/31/2008,14,138.1
1/31/2008,15,136.7
1/31/2008,16,144.5
1/31/2008,17,160.7
1/31/2008,18,181.2
1/31/2008,19,196.6
1/31/2008,20,198.1
1/31/2008,21,194.3
1/31/2008,22,184
1/31/2008,23,166.7
1/31/2008,24,150.7
2/1/2008,1,139.6
2/1/2008,2,133.8
2/1/2008,3,132.3
2/1/2008,4,131.6
2/1/2008,5,133
2/1/2008,6,141.7
2/1/2008,7,160.9
2/1/2008,8,158.1
2/1/2008,9,143
2/1/2008,10,133.5
2/1/2008,11,124.8
2/1/2008,12,118.4
2/1/2008,13,111.9
2/1/2008,14,109
2/1/2008,15,108
2/1/2008,16,106.9
2/1/2008,17,108.2
2/1/2008,18,115.6
2/1/2008,19,134.9
2/1/2008,20,138
2/1/2008,21,139.8
2/1/2008,22,139.7
2/1/2008,23,136.8
2/1/2008,24,131.3
2/2/2008,1,126.9
2/2/2008,2,126.3
2/2/2008,3,129.3
2/2/2008,4,134
2/2/2008,5,141.9
2/2/2008,6,152.8
2/2/2008,7,167.3
2/2/2008,8,180.8
2/2/2008,9,179.9
2/2/2008,10,163.5
2/2/2008,11,146.6
2/2/2008,12,132.4
2/2/2008,13,121.2
2/2/2008,14,112.9
2/2/2008,15,107.2
2/2/2008,16,105.7
2/2/2008,17,108.2
2/2/2008,18,122.5
2/2/2008,19,145.3
2/2/2008,20,152.2
2/2/2008,21,156.6
2/2/2008,22,156.8
2/2/2008,23,153.2
2/2/2008,24,146.4
2/3/2008,1,140.4
2/3/2008,2,137.5
2/3/2008,3,137.6
2/3/2008,4,139.6
2/3/2008,5,143.4
2/3/2008,6,150.2
2/3/2008,7,160.6
2/3/2008,8,172.9
2/3/2008,9,177.6
2/3/2008,10,163.8
2/3/2008,11,141.9
2/3/2008,12,122
2/3/2008,13,113.9
2/3/2008,14,108.5
2/3/2008,15,104.7
2/3/2008,16,102.7
2/3/2008,17,103.9
2/3/2008,18,114.9
2/3/2008,19,130.3
2/3/2008,20,131.2
2/3/2008,21,134.5
2/3/2008,22,131.3
2/3/2008,23,128.4
2/3/2008,24,120.4
2/4/2008,1,111.6
2/4/2008,2,108.3
2/4/2008,3,108.9
2/4/2008,4,111.5
2/4/2008,5,118
2/4/2008,6,135.8
2/4/2008,7,164.2
2/4/2008,8,165.4
2/4/2008,9,148.8
2/4/2008,10,130.3
2/4/2008,11,116.7
2/4/2008,12,107.8
2/4/2008,13,102.8
2/4/2008,14,99.1
2/4/2008,15,96.7
2/4/2008,16,96
2/4/2008,17,99.5
2/4/2008,18,110.6
2/4/2008,19,132.1
2/4/2008,20,134
2/4/2008,21,131.7
2/4/2008,22,123.2
2/4/2008,23,110.6
2/4/2008,24,99.3
2/5/2008,1,91.5
2/5/2008,2,88.6
2/5/2008,3,89.1
2/5/2008,4,91
2/5/2008,5,96.3
2/5/2008,6,109.5
2/5/2008,7,133.2
2/5/2008,8,133
2/5/2008,9,121.1
2/5/2008,10,114.1
2/5/2008,11,107.5
2/5/2008,12,101.1
2/5/2008,13,97.6
2/5/2008,14,96.2
2/5/2008,15,94.6
2/5/2008,16,94.8
2/5/2008,17,98.1
2/5/2008,18,106.1
2/5/2008,19,125.4
2/5/2008,20,126.2
2/5/2008,21,121.7
2/5/2008,22,115.5
2/5/2008,23,103.6
2/5/2008,24,90.9
2/6/2008,1,82.6
2/6/2008,2,78.2
2/6/2008,3,77.3
2/6/2008,4,77.2
2/6/2008,5,80.2
2/6/2008,6,91.5
2/6/2008,7,114.2
2/6/2008,8,114.5
2/6/2008,9,104.7
2/6/2008,10,101
2/6/2008,11,99.9
2/6/2008,12,99.9
2/6/2008,13,98.8
2/6/2008,14,98.5
2/6/2008,15,98.2
2/6/2008,16,97.7
2/6/2008,17,101
2/6/2008,18,110.1
2/6/2008,19,127.6
2/6/2008,20,127.1
2/6/2008,21,122.6
2/6/2008,22,114.6
2/6/2008,23,102.4
2/6/2008,24,90.5
2/7/2008,1,81.1
2/7/2008,2,77.3
2/7/2008,3,75
2/7/2008,4,74.7
2/7/2008,5,77.3
2/7/2008,6,87.2
2/7/2008,7,111
2/7/2008,8,113.1
2/7/2008,9,104.4
2/7/2008,10,102
2/7/2008,11,100.4
2/7/2008,12,98.9
2/7/2008,13,96.8
2/7/2008,14,95.2
2/7/2008,15,94
2/7/2008,16,93.7
2/7/2008,17,97
2/7/2008,18,104
2/7/2008,19,126.2
2/7/2008,20,131.7
2/7/2008,21,133.6
2/7/2008,22,132.9
2/7/2008,23,124.6
2/7/2008,24,115.5
2/8/2008,1,110.3
2/8/2008,2,109.6
2/8/2008,3,112
2/8/2008,4,115.1
2/8/2008,5,122.7
2/8/2008,6,139.6
2/8/2008,7,169.8
2/8/2008,8,169.9
2/8/2008,9,149.8
2/8/2008,10,133.2
2/8/2008,11,120.4
2/8/2008,12,110.6
2/8/2008,13,103.7
2/8/2008,14,99.4
2/8/2008,15,96.2
2/8/2008,16,94.7
2/8/2008,17,99
2/8/2008,18,111.4
2/8/2008,19,136.1
2/8/2008,20,143.5
2/8/2008,21,147.5
2/8/2008,22,149.6
2/8/2008,23,147.2
2/8/2008,24,140.9
2/9/2008,1,135.5
2/9/2008,2,132.9
2/9/2008,3,133
2/9/2008,4,134.2
2/9/2008,5,136.8
2/9/2008,6,141.4
2/9/2008,7,148
2/9/2008,8,154.8
2/9/2008,9,156.8
2/9/2008,10,145
2/9/2008,11,130.9
2/9/2008,12,119.5
2/9/2008,13,110.6
2/9/2008,14,104.4
2/9/2008,15,99.9
2/9/2008,16,98.4
2/9/2008,17,99.3
2/9/2008,18,106.1
2/9/2008,19,123.7
2/9/2008,20,126.8
2/9/2008,21,128.1
2/9/2008,22,126.5
2/9/2008,23,122.8
2/9/2008,24,115.3
2/10/2008,1,109.2
2/10/2008,2,106.9
2/10/2008,3,107
2/10/2008,4,110.4
2/10/2008,5,117.1
2/10/2008,6,126.1
2/10/2008,7,137.3
2/10/2008,8,151.2
2/10/2008,9,158.1
2/10/2008,10,152.4
2/10/2008,11,138.7
2/10/2008,12,124.9
2/10/2008,13,118.9
2/10/2008,14,113.4
2/10/2008,15,108.4
2/10/2008,16,105.8
2/10/2008,17,106.4
2/10/2008,18,118.9
2/10/2008,19,141.1
2/10/2008,20,147.3
2/10/2008,21,148.3
2/10/2008,22,146.2
2/10/2008,23,140.7
2/10/2008,24,136.2
2/11/2008,1,135.3
2/11/2008,2,140
2/11/2008,3,147
2/11/2008,4,155.4
2/11/2008,5,167.9
2/11/2008,6,188.2
2/11/2008,7,218.5
2/11/2008,8,219
2/11/2008,9,196.5
2/11/2008,10,179.4
2/11/2008,11,165.3
2/11/2008,12,152.4
2/11/2008,13,140.3
2/11/2008,14,131.6
2/11/2008,15,125.4
2/11/2008,16,124.2
2/11/2008,17,132.6
2/11/2008,18,156.9
2/11/2008,19,193.4
2/11/2008,20,205.3
2/11/2008,21,208.6
2/11/2008,22,203.6
2/11/2008,23,191.7
2/11/2008,24,179.9
2/12/2008,1,174.3
2/12/2008,2,174.1
2/12/2008,3,175.8
2/12/2008,4,178.5
2/12/2008,5,185.6
2/12/2008,6,200.4
2/12/2008,7,220.5
2/12/2008,8,212.8
2/12/2008,9,188.4
2/12/2008,10,168.7
2/12/2008,11,150.3
2/12/2008,12,136.9
2/12/2008,13,124.7
2/12/2008,14,117.4
2/12/2008,15,111.3
2/12/2008,16,110.8
2/12/2008,17,117.1
2/12/2008,18,128.6
2/12/2008,19,145.9
2/12/2008,20,146.5
2/12/2008,21,141.4
2/12/2008,22,132.3
2/12/2008,23,120.2
2/12/2008,24,105.9
2/13/2008,1,96.6
2/13/2008,2,92.3
2/13/2008,3,90.1
2/13/2008,4,89.2
2/13/2008,5,90.9
2/13/2008,6,100.7
2/13/2008,7,121.5
2/13/2008,8,123
2/13/2008,9,114.5
2/13/2008,10,110.4
2/13/2008,11,106.8
2/13/2008,12,103.5
2/13/2008,13,100.4
2/13/2008,14,99.1
2/13/2008,15,98.6
2/13/2008,16,100.6
2/13/2008,17,109.1
2/13/2008,18,123.2
2/13/2008,19,139
2/13/2008,20,141.1
2/13/2008,21,141.1
2/13/2008,22,138.9
2/13/2008,23,131.1
2/13/2008,24,122.8
2/14/2008,1,120.3
2/14/2008,2,125.3
2/14/2008,3,131.2
2/14/2008,4,139
2/14/2008,5,150.1
2/14/2008,6,170.7
2/14/2008,7,199.2
2/14/2008,8,201.4
2/14/2008,9,185
2/14/2008,10,172.2
2/14/2008,11,157.4
2/14/2008,12,143.3
2/14/2008,13,130
2/14/2008,14,121.4
2/14/2008,15,113.7
2/14/2008,16,111.1
2/14/2008,17,116.5
2/14/2008,18,132.7
2/14/2008,19,165.8
2/14/2008,20,177.6
2/14/2008,21,184.3
2/14/2008,22,184.1
2/14/2008,23,175.4
2/14/2008,24,164.5
2/15/2008,1,157.7
2/15/2008,2,156.1
2/15/2008,3,156.5
2/15/2008,4,158.7
2/15/2008,5,162.8
2/15/2008,6,175.9
2/15/2008,7,198.1
2/15/2008,8,194.3
2/15/2008,9,170.4
2/15/2008,10,154.9
2/15/2008,11,139.4
2/15/2008,12,124.7
2/15/2008,13,115.2
2/15/2008,14,109
